Auftrag;Geometrie;DruckerID;Volumen;Filamentdichte;Wirkleistung
4;Quader;2;125;55;55.533093
4;Quader;2;125;55;55.711656
4;Quader;2;125;55;57.109416
4;Quader;2;125;55;55.104588
4;Quader;2;125;55;56.02506
4;Quader;2;125;55;55.842017
4;Quader;2;125;55;56.92869
4;Quader;2;125;55;54.6592
4;Quader;2;125;55;55.40227
4;Quader;2;125;55;56.32011
4;Quader;2;125;55;56.92869
4;Quader;2;125;55;55.21131
4;Quader;2;125;55;55.49544
4;Quader;2;125;55;56.81364
4;Quader;2;125;55;56.986176
4;Quader;2;125;55;54.855108
4;Quader;2;125;55;55.387098
4;Quader;2;125;55;56.493996
4;Quader;2;125;55;56.32011
4;Quader;2;125;55;55.044836
4;Quader;2;125;55;55.580987
4;Quader;2;125;55;56.498904
4;Quader;2;125;55;56.141316
4;Quader;2;125;55;55.223553
4;Quader;2;125;55;55.892538
4;Quader;2;125;55;57.134064
4;Quader;2;125;55;56.205786
4;Quader;2;125;55;54.42822
4;Quader;2;125;55;56.182588
4;Quader;2;125;55;56.601012
4;Quader;2;125;55;56.62088
4;Quader;2;125;55;54.451782
4;Quader;2;125;55;55.699722
4;Quader;2;125;55;57.02697
4;Quader;2;125;55;55.986623
4;Quader;2;125;55;54.376784
4;Quader;2;125;55;56.165494
4;Quader;2;125;55;56.832006
4;Quader;2;125;55;55.91432
4;Quader;2;125;55;54.283152
4;Quader;2;125;55;55.73568
4;Quader;2;125;55;57.367272
4;Quader;2;125;55;55.890604
4;Quader;2;125;55;54.333972
4;Quader;2;125;55;55.92834
4;Quader;2;125;55;57.010824
4;Quader;2;125;55;56.181528
4;Quader;2;125;55;54.747924
4;Quader;2;125;55;56.068782
4;Quader;2;125;55;57.14982
4;Quader;2;125;55;55.177824
4;Quader;2;125;55;54.223568
4;Quader;2;125;55;56.21385
4;Quader;2;125;55;57.10068
4;Quader;2;125;55;55.082976
4;Quader;2;125;55;54.866119
4;Quader;2;125;55;55.938421
4;Quader;2;125;55;56.747964
4;Quader;2;125;55;55.92834
4;Quader;2;125;55;54.653368
4;Quader;2;125;55;56.00088
4;Quader;2;125;55;56.723472
4;Quader;2;125;55;55.79613
4;Quader;2;125;55;54.771563
4;Quader;2;125;55;56.238028
4;Quader;2;125;55;57.12525
4;Quader;2;125;55;55.604934
4;Quader;2;125;55;54.72988
4;Quader;2;125;55;56.189672
4;Quader;2;125;55;57.07611
4;Quader;2;125;55;54.72988
4;Quader;2;125;55;55.19976
4;Quader;2;125;55;56.778959
4;Quader;2;125;55;57.326666
4;Quader;2;125;55;55.291314
4;Quader;2;125;55;54.42822
4;Quader;2;125;55;56.060238
4;Quader;2;125;55;56.649996
4;Quader;2;125;55;54.700646
4;Quader;2;125;55;55.19976
4;Quader;2;125;55;56.117138
4;Quader;2;125;55;56.92869
4;Quader;2;125;55;54.949972
4;Quader;2;125;55;54.926256
4;Quader;2;125;55;56.181528
4;Quader;2;125;55;56.90412
4;Quader;2;125;55;54.54603
4;Quader;2;125;55;55.291314
4;Quader;2;125;55;56.316177
4;Quader;2;125;55;57.094643
4;Quader;2;125;55;54.273835
4;Quader;2;125;55;55.519464
4;Quader;2;125;55;55.92834
4;Quader;2;125;55;57.401084
4;Quader;2;125;55;54.700646
4;Quader;2;125;55;55.363152
4;Quader;2;125;55;56.542824
4;Quader;2;125;55;56.796948
4;Quader;2;125;55;54.106908
4;Quader;2;125;55;54.973688
4;Quader;2;125;55;55.95252
4;Quader;2;125;55;57.084768
4;Quader;2;125;55;53.884152
4;Quader;2;125;55;55.639584
4;Quader;2;125;55;55.35453
4;Quader;2;125;55;57.243005
4;Quader;2;125;55;54.475344
4;Quader;2;125;55;55.182816
4;Quader;2;125;55;56.108754
4;Quader;2;125;55;57.144097
4;Quader;2;125;55;54.451782
4;Quader;2;125;55;55.339206
4;Quader;2;125;55;55.341517
4;Quader;2;125;55;57.68343
4;Quader;2;125;55;53.907408
4;Quader;2;125;55;55.711656
4;Quader;2;125;55;55.783728
4;Quader;2;125;55;57.438498
4;Quader;2;125;55;54.2469
4;Quader;2;125;55;55.676775
4;Quader;2;125;55;55.831776
4;Quader;2;125;55;56.51841
4;Quader;2;125;55;54.629729
4;Quader;2;125;55;55.363152
4;Quader;2;125;55;55.92834
4;Quader;2;125;55;56.986176
4;Quader;2;125;55;54.475344
4;Quader;2;125;55;55.13508
4;Quader;2;125;55;55.817916
4;Quader;2;125;55;56.117138
4;Quader;2;125;55;54.083576
4;Quader;2;125;55;54.973688
4;Quader;2;125;55;56.117138
4;Quader;2;125;55;55.91432
4;Quader;2;125;55;54.153572
4;Quader;2;125;55;55.844334
4;Quader;2;125;55;56.57652
4;Quader;2;125;55;56.340588
4;Quader;2;125;55;54.179895
4;Quader;2;125;55;55.951671
4;Quader;2;125;55;56.68299
4;Quader;2;125;55;56.133924
4;Quader;2;125;55;53.674848
4;Quader;2;125;55;55.567512
4;Quader;2;125;55;56.649996
4;Quader;2;125;55;55.339206
4;Quader;2;125;55;54.54603
4;Quader;2;125;55;55.79613
4;Quader;2;125;55;57.24069
4;Quader;2;125;55;55.411044
4;Quader;2;125;55;53.61534
4;Quader;2;125;55;56.133924
4;Quader;2;125;55;56.527536
4;Quader;2;125;55;55.171584
4;Quader;2;125;55;54.10944
4;Quader;2;125;55;56.218533
4;Quader;2;125;55;57.33504
4;Quader;2;125;55;55.219476
4;Quader;2;125;55;54.049072
4;Quader;2;125;55;56.182588
4;Quader;2;125;55;56.65842
4;Quader;2;125;55;55.219476
4;Quader;2;125;55;54.119296
4;Quader;2;125;55;55.699722
4;Quader;2;125;55;56.478552
4;Quader;2;125;55;54.872532
4;Quader;2;125;55;54.085955
4;Quader;2;125;55;56.169711
4;Quader;2;125;55;57.0538
4;Quader;2;125;55;54.8964
4;Quader;2;125;55;53.814992
4;Quader;2;125;55;55.939268
4;Quader;2;125;55;56.511
